"Latitude","Longitude","FIPS_block","FIPS_county","FIPS_state","STname","API_status"
32.7554883,-97.3307658,"484391233002047","48439","48","TX","OK"
46.724508,-92.084586,"550310203002013","55031","55","WI","OK"
38.8314084,-104.7876422,"080410021012039","08041","08","CO","OK"
25.8681759,-80.3096917,"120860007084005","12086","12","FL","OK"
33.8877505,-84.4608229,"130670303391006","13067","13","GA","OK"
33.8877505,-84.4608229,"130670303391006","13067","13","GA","OK"
40.4755531,-79.848462,"420035231001003","42003","42","PA","OK"
27.954333,-97.1457664,"480079505004076","48007","48","TX","OK"
27.8063646,-82.7245558,"121030225033000","12103","12","FL","OK"
31.6677008,-82.2613485,"130019504002031","13001","13","GA","OK"
37.7861362,-90.4190954,"291879508003006","29187","29","MO","OK"
33.8827328,-118.1603938,"060375538021033","06037","06","CA","OK"
39.2747654,-74.5853783,"340090201022022","34009","34","NJ","OK"
37.9005393,-83.2891357,"211759504002026","21175","21","KY","OK"
35.2516945,-81.0285646,"370710323021007","37071","37","NC","OK"
35.2516945,-81.0285646,"370710323021007","37071","37","NC","OK"
35.2575257,-81.0234203,"370710312012018","37071","37","NC","OK"
35.2575257,-81.0234203,"370710312012018","37071","37","NC","OK"
34.0619987,-118.292111,"060372121012003","06037","06","CA","OK"
33.7425578,-116.3064716,"060650449112000","06065","06","CA","OK"
39.6613432,-104.9872179,"080050058002024","08005","08","CO","OK"
41.4775501,-86.3683503,"180990202021001","18099","18","IN","OK"
40.154411,-74.936577,"420171009004009","42017","42","PA","OK"
48.4234751,-122.3127334,"530579523023004","53057","53","WA","OK"
31.6488223,-87.7113686,"010259578002083","01025","01","AL","OK"
32.9904906,-96.8562184,"481210216372023","48121","48","TX","OK"
30.5197877,-97.8353106,"484910203272009","48491","48","TX","OK"
26.6214733,-80.0571268,"120990052031020","12099","12","FL","OK"
33.769453,-84.27332,"130890229001018","13089","13","GA","OK"
40.7931007,-76.5494914,"420970815001022","42097","42","PA","OK"
29.8276871,-95.325302,"482012304002026","48201","48","TX","OK"
39.8105542,-105.0254026,"080010096062010","08001","08","CO","OK"
39.9677767,-75.1329122,"421010143001044","42101","42","PA","OK"
40.3379859,-79.89501,"420034886002020","42003","42","PA","OK"
29.2684216,-94.8282291,"481677256002012","48167","48","TX","OK"
28.3736897,-80.6695892,"120090691001012","12009","12","FL","OK"
34.3279692,-80.433234,"450559701001115","45055","45","SC","OK"
31.0722045,-97.7277708,"480270225021033","48027","48","TX","OK"
34.1287623,-117.2919128,"060710054002007","06071","06","CA","OK"
