age,gender,race,city,state,county,year,fips
18,Male,African-American/Black,Romulus,MI,wayne,2014,26163
18,Male,African-American/Black,Ferguson,MO,st. louis,2014,29189
18,Male,Hispanic/Latino,Dallas,TX,dallas,2014,48113
18,Male,European-American/White,Ottawa,KS,franklin,2014,20059
18,Male,African-American/Black,Chicago,IL,cook,2014,17031
18,Male,Hispanic/Latino,Dallas,TX,dallas,2014,48113
18,Male,European-American/White,Cedartown,GA,polk,2014,13233
18,Female,European-American/White,Tacoma,WA,pierce,2014,53053
18,Male,European-American/White,Three Way,TN,madison,2014,47113
18,Male,African-American/Black,St. Louis,MO,st. louis city,2014,29510
18,Male,African-American/Black,Columbus,OH,franklin,2014,39049
18,Male,European-American/White,Wichita,KS,sedgwick,2014,20173
18,Female,European-American/White,Wausau,FL,washington,2014,12133
18,Male,African-American/Black,Lumberton,NC,robeson,2014,37155
18,Male,Hispanic/Latino,Long Beach,CA,los angeles,2014,6037
18,Male,African-American/Black,Cincinnati,OH,hamilton,2014,39061
18,Male,European-American/White,Phoenix,AZ,maricopa,2014,4013
18,Male,African-American/Black,Berkeley,MO,st. louis,2014,29189
18,Male,Hispanic/Latino,Key Largo,FL,monroe,2015,12087
18,Male,European-American/White,Guthrie,OK,logan,2015,40083
18,Male,European-American/White,Rayne,LA,acadia,2015,22001
18,Male,African-American/Black,Millbrook,AL,elmore,2015,1051
18,Male,African-American/Black,Cleveland,OH,cuyahoga,2015,39035
18,Male,African-American/Black,Chicago,IL,cook,2015,17031
18,Male,African-American/Black,Portsmouth,VA,portsmouth city,2015,51740
18,Male,European-American/White,Wake Forest,NC,wake,2015,37183
18,Male,European-American/White,St. Petersburg,FL,pinellas,2015,12103
18,Male,European-American/White,Trenton,MI,wayne,2015,26163
18,Male,European-American/White,Cottonwood,AZ,yavapai,2015,4025
18,Male,Hispanic/Latino,Forreston,TX,ellis,2015,48139
18,Male,African-American/Black,Missouri City,TX,fort bend,2015,48157
18,Female,European-American/White,Wisner,LA,franklin,2015,22041
18,Male,European-American/White,Louisville,KY,jefferson,2015,21111
18,Male,African-American/Black,St Louis,MO,st. louis city,2015,29510
18,Male,European-American/White,Hamilton,GA,harris,2015,13145
18,Male,African-American/Black,Midwest City,OK,oklahoma,2015,40109
18,Male,African-American/Black,Richmond,VA,richmond city,2015,51760
18,Male,Hispanic/Latino,Tampa,FL,hillsborough,2015,12057
18,Male,European-American/White,Hohenwald,TN,lewis,2015,47101
18,Male,Middle Eastern,Merced,CA,merced,2015,6047
18,Male,African-American/Black,Brownsville,PA,fayette,2015,42051
18,Male,African-American/Black,Oakland,CA,alameda,2015,6001
18,Male,African-American/Black,Atlanta,GA,fulton,2015,13121
18,Male,African-American/Black,Charlotte,NC,mecklenburg,2015,37119
18,Male,African-American/Black,Midway,FL,gadsden,2016,12039
18,Male,African-American/Black,Cave Spring,VA,roanoke,2016,51161
18,Male,European-American/White,Shelbyville,MI,barry,2016,26015
18,Male,African-American/Black,Kinston,NC,lenoir,2016,37107
18,Male,African-American/Black,Baltimore,MD,baltimore city,2016,24510
18,Male,African-American/Black,Mableton,GA,cobb,2016,13067
18,Male,European-American/White,Council Bluffs,IA,pottawattamie,2016,19155
18,Male,European-American/White,Antigo,WI,langlade,2016,55067
18,Male,African-American/Black,Chicago,IL,cook,2016,17031
18,Male,Hispanic/Latino,San Jose,CA,santa clara,2016,6085
18,Male,African-American/Black,Marion,IN,grant,2016,18053
18,Male,African-American/Black,Los Angeles,CA,los angeles,2016,6037
18,Male,African-American/Black,Chicago,IL,cook,2016,17031
18,Male,African-American/Black,Los Angeles,CA,los angeles,2016,6037
18,Male,African-American/Black,Newark,NJ,essex,2016,34013
18,Male,African-American/Black,Newark,NJ,essex,2016,34013
18,Male,African-American/Black,Los Angeles,CA,los angeles,2016,6037
18,Male,European-American/White,Kansas City,MO,clay,2016,29047
18,Male,African-American/Black,Malvern,AR,hot spring,2016,5059
18,Male,African-American/Black,Columbus,OH,franklin,2016,39049
18,Male,African-American/Black,Baltimore,MD,baltimore city,2016,24510
18,Male,African-American/Black,Charlotte,NC,mecklenburg,2016,37119
18,Female,African-American/Black,Charlotte,NC,mecklenburg,2016,37119
18,Male,African-American/Black,Des Moines,IA,polk,2016,19153
18,Male,Hispanic/Latino,Brooklyn,NY,kings,2017,36047
18,Male,Hispanic/Latino,Lancaster,PA,lancaster,2017,42071
18,Male,Hispanic/Latino,Wichita Falls,TX,wichita,2017,48485
18,Male,European-American/White,Pisgah,AL,jackson,2017,1071
18,Male,African-American/Black,Baltimore,MD,baltimore city,2017,24510
18,Female,European-American/White,Vassalboro,ME,kennebec,2017,23011
18,Male,Hispanic/Latino,Brooklyn,NY,kings,2017,36047
18,Male,Hispanic/Latino,Las Cruces,NM,dona ana,2017,35013
18,Male,European-American/White,Westminster,CO,adams,2017,8001
18,Male,European-American/White,Syracuse,NY,onondaga,2017,36067
18,Male,European-American/White,Cottonwood,CA,tehama,2017,6103
18,Female,European-American/White,Anchorage,KY,jefferson,2017,21111
18,Male,African-American/Black,Newark,NJ,essex,2017,34013
18,Male,Race unspecified,St. Louis,MO,NA,2015,29189
18,Male,European-American/White,Crane,MO,NA,2016,29209
18,Male,Race unspecified,Phoenix,AZ,NA,2016,4013
18,Male,European-American/White,Hamilton,OH,NA,2014,39017
18,Male,Hispanic/Latino,Chicago,IL,NA,2013,17031
18,Male,Race unspecified,Aurora,IL,NA,2016,17089
18,Male,Race unspecified,Mobile,AL,NA,2016,1097
18,Male,European-American/White,West Point,GA,NA,2014,13145
18,Male,Race unspecified,Newark,NJ,NA,2015,34013
18,Male,European-American/White,Manchester Township,NJ,NA,2016,34029
18,Male,Race unspecified,Temecula,CA,NA,2016,6065
18,Male,Hispanic/Latino,Indio,CA,NA,2015,6065
18,Male,Race unspecified,Sunnyvale,CA,NA,2016,6085
18,Male,Race unspecified,Sunnyvale,CA,NA,2016,6085
18,Male,Hispanic/Latino,Porterville,CA,NA,2013,6107
18,Male,European-American/White,Cave City,KY,NA,2016,21009
18,Male,Race unspecified,Shoreview,MN,NA,2014,27123
18,Male,Hispanic/Latino,Palmyra,PA,NA,2015,42075
18,Male,Race unspecified,Omaha,NE,NA,2016,31055
18,Male,Race unspecified,Wichita,KS,NA,2016,20173
18,Female,Hispanic/Latino,Tulsa,OK,NA,2014,40143
18,Male,Race unspecified,Gary,IN,NA,2017,18089
18,Male,Hispanic/Latino,Charlotte,NC,NA,2016,37119
18,Male,European-American/White,Washington,DC,NA,2015,11001
18,Male,Race unspecified,Wilmington,DE,NA,2015,10003
19,Male,European-American/White,Dearborn Heights,MI,wayne,2013,26163
19,Male,European-American/White,Mount Airy,MD,frederick,2013,24021
