GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021
"G4200550","2011-2015",,,"Pennsylvania","42","Franklin County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Pennsylvania",152285,144885,135822,5470,366,1550,31,86,1560,97,1463,7400,5722,341,3,17,0,1055,262,184,78,"Franklin County, Pennsylvania",0,0,110,291,110,190,47,91,378,71,360,0,505,243,5,27,23,431,157,143,58
"G4200570","2011-2015",,,"Pennsylvania","42","Fulton County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Pennsylvania",14694,14537,14182,188,35,21,3,0,108,0,108,157,73,22,0,0,10,45,7,7,0,"Fulton County, Pennsylvania",0,0,16,33,14,11,4,16,37,16,37,0,42,20,16,16,15,42,9,9,16
"G4200590","2011-2015",,,"Pennsylvania","42","Greene County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Pennsylvania",37938,37081,34601,1808,42,83,3,20,524,3,521,857,384,116,26,0,0,188,143,126,17,"Greene County, Pennsylvania",0,253,462,333,34,44,7,20,138,7,138,253,145,133,38,21,21,73,85,66,31
"G4200610","2011-2015",,,"Pennsylvania","42","Huntingdon County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntingdon County, Pennsylvania",45906,45090,41877,2342,22,210,0,27,612,25,587,816,425,84,5,0,5,162,135,90,45,"Huntingdon County, Pennsylvania",0,0,34,121,15,53,21,22,124,28,123,0,76,41,9,21,9,51,52,38,33
"G4200630","2011-2015",,,"Pennsylvania","42","Indiana County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana County, Pennsylvania",87895,86745,82505,2050,151,983,27,43,986,44,942,1150,549,155,15,0,0,234,197,78,119,"Indiana County, Pennsylvania",0,0,59,159,84,97,42,40,188,36,186,0,138,64,18,23,23,102,82,39,77
"G4200650","2011-2015",,,"Pennsylvania","42","Jefferson County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Pennsylvania",44756,44415,43615,231,93,114,32,17,313,16,297,341,257,5,4,0,0,31,44,23,21,"Jefferson County, Pennsylvania",0,0,22,56,29,23,37,15,67,21,60,0,53,9,6,21,21,23,35,31,22
"G4200670","2011-2015",,,"Pennsylvania","42","Juniata County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juniata County, Pennsylvania",24829,24104,23640,188,13,98,0,2,163,5,158,725,373,0,5,0,0,315,32,15,17,"Juniata County, Pennsylvania",0,0,8,30,16,21,18,3,45,7,45,0,82,18,7,18,18,82,28,13,23
"G4200690","2011-2015",,,"Pennsylvania","42","Lackawanna County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lackawanna County, Pennsylvania",213459,200795,187898,5770,252,4415,13,283,2164,109,2055,12664,9975,818,12,104,0,1152,603,264,339,"Lackawanna County, Pennsylvania",0,0,106,282,68,183,15,180,299,85,290,0,416,355,17,96,23,300,184,165,135
"G4200710","2011-2015",,,"Pennsylvania","42","Lancaster County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lancaster County, Pennsylvania",530216,479451,442338,18448,467,10723,31,465,6979,291,6688,50765,27182,2927,284,113,0,16425,3834,1815,2019,"Lancaster County, Pennsylvania",0,0,202,623,178,402,26,186,765,149,759,0,1344,556,159,102,23,1321,630,394,508
"G4200730","2011-2015",,,"Pennsylvania","42","Lawrence County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Pennsylvania",89162,88115,82297,3339,47,372,7,352,1701,11,1690,1047,801,48,2,0,0,137,59,29,30,"Lawrence County, Pennsylvania",0,0,192,254,31,112,14,200,289,16,286,0,84,43,4,23,23,69,40,23,32
"G4200750","2011-2015",,,"Pennsylvania","42","Lebanon County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lebanon County, Pennsylvania",135776,120825,115056,2324,97,1554,0,86,1708,37,1671,14951,4606,376,26,10,48,8560,1325,1013,312,"Lebanon County, Pennsylvania",0,0,143,216,78,141,23,127,264,60,253,0,738,179,24,19,69,798,378,342,117
"G4200770","2011-2015",,,"Pennsylvania","42","Lehigh County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lehigh County, Pennsylvania",356756,281587,244451,18254,334,11094,10,708,6736,308,6428,75169,38469,5045,341,214,72,27243,3785,1787,1998,"Lehigh County, Pennsylvania",0,0,380,696,93,385,16,381,813,190,802,0,2204,906,183,192,118,2219,676,398,488
"G4200790","2011-2015",,,"Pennsylvania","42","Luzerne County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Luzerne County, Pennsylvania",320095,292457,274232,10395,436,3434,89,109,3762,208,3554,27638,13402,2213,478,8,0,9846,1691,942,749,"Luzerne County, Pennsylvania",0,0,55,434,93,213,96,52,453,130,459,0,1085,610,377,11,23,1077,433,269,330
"G4200810","2011-2015",,,"Pennsylvania","42","Lycoming County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lycoming County, Pennsylvania",116656,114625,106063,5517,212,776,11,327,1719,131,1588,2031,1079,123,6,3,6,430,384,38,346,"Lycoming County, Pennsylvania",0,0,254,278,79,113,17,227,319,120,309,0,191,93,11,5,9,130,139,41,139
"G4200830","2011-2015",,,"Pennsylvania","42","McKean County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McKean County, Pennsylvania",42884,42023,40239,968,99,209,0,0,508,24,484,861,398,49,15,0,0,262,137,74,63,"McKean County, Pennsylvania",0,0,36,188,59,44,21,21,194,36,208,0,87,53,30,21,21,94,67,57,36
"G4200850","2011-2015",,,"Pennsylvania","42","Mercer County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mercer County, Pennsylvania",115320,113839,104346,6497,82,809,0,245,1860,29,1831,1481,1026,51,0,0,0,240,164,81,83,"Mercer County, Pennsylvania",0,0,184,276,33,104,23,184,287,21,283,0,147,39,23,23,23,143,69,46,63
"G4200870","2011-2015",,,"Pennsylvania","42","Mifflin County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mifflin County, Pennsylvania",46675,46066,45025,330,14,225,9,0,463,16,447,609,403,6,4,0,31,95,70,43,27,"Mifflin County, Pennsylvania",0,0,21,63,11,68,15,21,98,25,99,0,85,11,8,21,46,69,35,33,37
"G4200890","2011-2015",,,"Pennsylvania","42","Monroe County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Pennsylvania",167881,143972,114983,21343,403,3640,35,492,3076,28,3048,23909,16130,1513,117,72,39,4025,2013,802,1211,"Monroe County, Pennsylvania",0,0,367,534,140,239,41,369,652,33,653,0,1098,498,119,82,52,840,620,312,504
"G4200910","2011-2015",,,"Pennsylvania","42","Montgomery County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Pennsylvania",812970,775393,629397,70479,631,56962,189,1881,15854,734,15120,37577,26640,1628,204,179,15,7032,1879,868,1011,"Montgomery County, Pennsylvania",0,0,360,829,156,653,79,509,989,245,978,0,984,386,146,96,25,892,393,284,274
"G4200930","2011-2015",,,"Pennsylvania","42","Montour County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montour County, Pennsylvania",18508,18064,17125,296,3,537,0,0,103,5,98,444,338,15,0,0,0,23,68,68,0,"Montour County, Pennsylvania",0,0,5,42,5,30,16,16,47,5,47,0,127,24,16,16,16,33,93,93,16
"G4200950","2011-2015",,,"Pennsylvania","42","Northampton County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northampton County, Pennsylvania",299616,264576,236265,13450,347,8204,25,762,5523,230,5293,35040,22830,1655,672,34,22,6429,3398,1185,2213,"Northampton County, Pennsylvania",0,0,316,570,128,242,16,330,626,119,631,0,1067,475,397,45,25,828,596,299,523
"G4200970","2011-2015",,,"Pennsylvania","42","Northumberland County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northumberland County, Pennsylvania",94006,91274,87685,2372,185,326,0,80,626,97,529,2732,1846,312,35,0,58,269,212,109,103,"Northumberland County, Pennsylvania",0,0,87,102,56,84,23,69,122,87,152,0,210,152,60,23,77,122,111,78,81
"G4200990","2011-2015",,,"Pennsylvania","42","Perry County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Pennsylvania",45677,44944,43849,376,48,141,0,14,516,9,507,733,557,18,0,0,2,134,22,4,18,"Perry County, Pennsylvania",0,0,13,76,41,57,21,12,86,10,84,0,81,15,21,21,3,84,16,5,15
"G4201010","2011-2015",,,"Pennsylvania","42","Philadelphia County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia County, Pennsylvania",1555072,1347351,557211,645130,2839,105860,469,5347,30495,1822,28673,207721,90821,19781,2487,893,1405,81321,11013,5443,5570,"Philadelphia County, Pennsylvania",0,0,687,2207,414,948,113,1671,2074,380,2029,0,3557,1710,641,371,746,3659,1196,879,943
"G4201030","2011-2015",,,"Pennsylvania","42","Pike County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Pennsylvania",56632,51050,46303,3129,94,673,15,150,686,51,635,5582,4338,196,9,197,0,538,304,146,158,"Pike County, Pennsylvania",0,0,94,128,68,86,20,117,168,50,161,0,376,126,14,263,23,234,250,204,106
"G4201050","2011-2015",,,"Pennsylvania","42","Potter County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Potter County, Pennsylvania",17377,17184,16837,92,32,60,3,27,133,6,127,193,150,8,3,0,0,20,12,0,12,"Potter County, Pennsylvania",0,0,24,18,11,15,4,24,29,8,26,0,25,13,5,16,16,16,15,16,15
"G4201070","2011-2015",,,"Pennsylvania","42","Schuylkill County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schuylkill County, Pennsylvania",146360,141358,135013,3826,107,732,0,23,1657,18,1639,5002,2908,215,65,0,35,1446,333,188,145,"Schuylkill County, Pennsylvania",0,0,21,213,54,79,23,19,250,27,246,0,348,99,40,23,37,368,98,67,61
